Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X,Pink2_Y
9.1938,0.9487,1.6079,1.0336,1.3789,1.4217,1.4703,2.1519,2.1519,6.3667,3.0694,1.152,2.2157,0.683,0.6736,0.815
9.2937,0.7138,3.4299,0.9787,0.7926,2.0238,2.443,1.8059,1.8059,6.2847,2.2062,0.9691,0.3848,1.4836,0.4261,1.167
9.3937,0.3217,3.1634,1.6223,1.8565,2.3673,2.7228,1.2994,1.2994,5.0545,2.4477,0.1357,0.5837,1.7745,0.5357,2.4777
9.4936,0.2898,2.4347,2.3005,2.9046,1.586,2.1092,0.4545,0.4545,2.3703,1.0669,0.7024,1.7734,0.5009,0.8951,2.9432
9.5935,0.4419,2.6278,2.3435,3.1821,0.9383,0.9708,0.9192,0.9192,1.334,0.7813,0.911,2.6637,0.8475,0.8463,2.9795
9.6935,1.0613,1.4007,1.8151,2.8249,0.3919,0.8798,1.6914,1.6914,2.8841,1.475,0.3366,2.105,0.3993,0.441,3.2753
9.7934,0.3085,1.0612,1.6311,1.7738,0.983,1.5484,2.2313,2.2313,3.2919,2.6737,0.6409,1.6776,0.207,0.4378,3.1996
9.8933,1.6553,2.7457,2.1526,0.7186,1.9029,2.0634,2.0624,2.0624,2.9555,2.0258,1.2902,0.2546,0.9632,0.8427,2.9205
9.9933,1.2336,2.8331,2.2765,0.8893,2.4459,2.5528,1.2281,1.2281,2.1729,2.3004,1.1948,0.3111,1.8068,0.9363,3.6934
10.0932,0.9874,2.1225,1.5903,2.1932,1.6642,2.3108,0.5521,0.5521,0.4715,0.9019,0.5287,1.6159,0.8549,0.6366,4.6967
10.1931,0.1934,1.7316,0.5076,2.8197,1.3791,1.6031,0.9838,0.9838,0.8834,0.8573,0.6911,2.0051,0.2481,0.6881,4.8722
10.2931,0.7687,1.5118,0.8838,2.6678,0.7151,0.4376,1.5914,1.5914,2.3666,1.5337,1.0226,1.6739,0.6497,1.0795,4.4218
10.393,1.627,0.4701,1.1764,1.5813,0.9162,1.1983,2.137,2.137,3.6642,2.3921,0.6496,1.7846,0.8085,0.978,4.0092
10.4929,0.9823,1.4939,0.5594,0.6838,1.9693,2.2385,1.9647,1.9647,4.2975,1.3678,0.2194,0.2752,0.6213,0.6414,3.557
10.5928,0.7541,2.4202,0.78,0.1765,2.3618,2.62,1.4412,1.4412,3.9024,1.5339,0.8372,0.6956,1.6473,0.7528,2.9348
10.6928,1.4866,1.7397,1.9303,1.1852,1.7875,2.2739,0.8026,0.8026,3.337,0.4621,0.8643,1.0898,1.0443,0.7081,2.7434
10.7927,1.5166,1.0747,2.368,1.7793,1.423,1.7227,1.0026,1.0026,3.3425,0.8178,0.4499,2.2332,0.3937,0.3238,2.9279
10.8926,0.8167,1.5618,1.9277,2.2744,0.4937,0.9993,1.7151,1.7151,3.708,0.9935,0.842,2.1698,1.0009,0.0159,2.8634
10.9926,0.2158,0.638,1.5631,2.0308,0.2417,0.8856,1.8891,1.8891,4.2707,1.7282,1.261,2.0263,1.3884,0.1573,2.2841
11.0925,0.7073,1.5764,2.33,1.5362,1.2551,1.669,1.7327,1.7327,4.1557,1.0111,1.0598,0.0296,0.2804,0.6024,1.35
