Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y
,,,6.2605,4.5804,,,2.204,2.1104
,,,5.8044,4.4141,,,1.7697,1.6865
,,,4.6851,3.8393,,,2.0721,2.0455
,,,3.1302,2.2698,,,1.6627,2.0097
,,,4.811,3.413,,,2.0547,1.9782
,,,6.3272,4.4255,,,2.291,1.9844
,,,5.6658,4.6015,,,1.8266,1.8672
,,,5.4018,4.1149,,,2.3866,2.1731
,,,3.5703,2.9371,,,1.8174,1.9389
,,,3.17,2.1865,,,2.0872,2.0275
,,,5.7993,4.0162,,,2.2262,1.7008
,,,5.9175,4.6185,,,1.9399,1.8413
,,,5.3236,3.9888,,,2.0422,2.26
,,,4.7807,3.7694,,,1.8778,1.9562
,,,2.2736,2.1834,,,2.1478,2.157
,,,4.3959,2.5543,,,1.8401,1.7304
,,,5.9164,4.7926,,,2.055,2.0104
,,,5.3404,3.7819,,,1.9054,2.0491
,,,5.2853,4.0492,,,1.9907,1.8252
,,,3.5025,3.3249,,,2.0923,2.0197
,,,2.3302,1.1812,,,1.7037,1.6918
,,,5.1695,4.0163,,,2.1146,2.0845
,,,5.6088,3.9449,,,1.6457,1.6677
,,,5.1556,4.0364,,,1.863,1.8703
,,,4.6351,3.9639,,,1.6452,1.7259
,,,2.1104,1.7042,,,1.7049,1.5233
,,,3.5151,2.3078,,,1.9437,1.8119
,,,5.4185,3.8816,,,1.4342,1.6959
,,,5.1591,3.902,,,2.105,2.13
,,,4.9913,3.6779,,,1.7429,1.5774
,,,3.6939,3.2059,,,1.9184,1.6971
,,,1.6617,0.7946,,,1.8817,1.6132
,,,4.135,3.3388,,,1.6619,1.8161
,,,5.285,3.9114,,,2.0007,1.9438
,,,4.7136,3.5264,,,1.8667,1.4754
,,,4.1823,3.8803,,,2.1319,1.9824
,,,2.6172,1.7097,,,1.8659,1.7582
,,,2.246,1.6217,,,2.0802,1.8516
,,,4.9805,3.3304,,,2.0001,1.7287
,,,4.8668,3.8354,,,1.9073,1.9
,,,4.3397,3.1696,,,1.9229,2.0086
,,,3.8068,2.895,,,1.7258,1.5394
,,,0.8803,0.8483,,,2.0596,1.7822
,,,3.3842,2.432,,,1.7531,1.6693
,,,4.9412,3.8836,,,2.0244,1.7987
,,,4.369,3.0615,,,1.811,1.7871
,,,3.8454,3.4756,,,1.7568,1.6643
,,,2.5367,1.7375,,,2.058,2.026
,,,1.1308,1.0367,,,1.3776,1.7366
,,,4.6535,3.0322,,,2.0103,1.6371
,,,4.3482,3.821,,,1.7369,1.5753
,,,4.0717,2.7096,,,1.7709,1.7938
,,,3.3838,2.8806,,,2.0844,2.0055
,,,1.0579,1.0995,,,1.5433,1.7056
,,,2.6863,2.3945,,,2.1776,1.6409
