Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
49.9663,0.0226,0.0149,0.1063,0.0437,0.0645,0.0699,0.0588,0.0903,0.0957,0.0742,0.2054,0.0877,2.367,0.0973,0.0366,0.0562,0.16,0.2644,0.1747,415.4709,0.0991,0.0482,0.1907,0.1949,0.01,0.5757
50.0662,0.0223,0.0144,0.1077,0.0428,0.0608,0.0493,0.0626,0.1094,0.1056,0.0681,0.2193,0.0708,3.1524,0.5781,0.0362,0.0576,0.1566,0.2294,0.18,426.0988,0.1003,0.0424,0.1794,0.2056,0.0275,0.5106
50.1661,0.0203,0.0136,0.1071,0.0606,0.06,0.023,0.0635,0.1238,0.1158,0.0577,0.2315,0.1513,3.6883,0.4403,0.036,0.0593,0.1595,0.1805,0.1972,384.9851,0.0997,0.0416,0.1796,0.2085,0.0588,0.4246
50.2661,0.0172,0.0129,0.1046,0.0811,0.0622,0.0082,0.0622,0.1324,0.1218,0.0451,0.2372,0.2506,3.4302,0.0742,0.0365,0.0608,0.1673,0.1438,0.2147,298.1022,0.0975,0.0447,0.1915,0.2029,0.084,0.3248
50.366,0.0141,0.0126,0.1006,0.0966,0.0663,0.0368,0.0592,0.1343,0.1215,0.0348,0.2321,0.3471,3.1912,0.6253,0.038,0.0618,0.1759,0.1516,0.2237,179.207,0.0941,0.0499,0.2077,0.1922,0.1012,0.2219
50.4659,0.0127,0.0129,0.0961,0.1044,0.0702,0.0634,0.0553,0.1295,0.1153,0.0332,0.2136,0.4341,2.8019,1.0552,0.0399,0.0621,0.1815,0.1936,0.2206,72.206,0.0902,0.0554,0.2198,0.1832,0.11,0.1458
50.5659,0.0141,0.0136,0.0924,0.1038,0.0726,0.0844,0.0512,0.1182,0.1057,0.0404,0.1809,0.5092,3.3897,0.7406,0.0412,0.0616,0.1816,0.2355,0.2075,145.4548,0.0868,0.0603,0.2226,0.1831,0.1123,0.1654
50.6658,0.0174,0.0143,0.0909,0.0959,0.0729,0.0978,0.0472,0.1013,0.0972,0.0497,0.1355,0.572,2.6884,0.5182,0.0412,0.0603,0.1762,0.2578,0.1913,269.4926,0.0846,0.0641,0.2148,0.1941,0.1129,0.2615
50.7657,0.0207,0.0148,0.0923,0.0834,0.0712,0.1025,0.0436,0.08,0.0948,0.0562,0.0816,0.6233,1.397,0.6079,0.0393,0.0582,0.1677,0.2534,0.1822,368.1649,0.084,0.0666,0.1996,0.2116,0.1186,0.3739
50.8657,0.0229,0.0147,0.0957,0.0706,0.0684,0.0984,0.0405,0.0559,0.1,0.058,0.0384,0.663,0.7402,0.3824,0.0355,0.0555,0.1599,0.2236,0.1877,424.8405,0.085,0.0678,0.1836,0.2278,0.1342,0.4805
